YES ARE POWER TOOLS  2026-2027 BCODE(est),,,
Stock Report,,,
Report Period : 19-Apr-2026 11:59:59 PM,,,
No,Item Code,Item Name,Quantity
232,11ECB,11E CARBON BRUSH,1
233,11ECP,11E CLAMP DHARA,90
234,11ECRD,EMTEX SPARES 11E CONNECTING ROD ,22
235,11EFCS,SPARE 11E FRONT CAP SET 5 PCS  SET ,12
236,11EFCS,SPARE 11E FRONT CAP SET 5 PCS  SET ,12
237,11EFH,11E FRONT HANDLE ,172
238,11EG,GOVERNER 11E AKARI SPARE,-4.000
239,11EGC,11E GREASE CAP  EVEREST ,20
240,11EGL,GEAR FOR 11E LASERTECH ,44
241,11EHANDLE ,YURI SPARE 11E SIDE HANDLE ,-1.000
242,11EORING,ORING 11E ,4
243,11EORP,11E ORING ,-8.000
244,11ES,LASERTECH SPARES 11E SWITCH ,3
245,11ESCRL,LASERTECH SPARES 11E GOVERNOR ,4
246,11ESD,YURI SPARES 11E STOPPING DEVISE ,6
247,11ETH,TOOL HOLDER 11E YURI ,2
248,11S4S,SHOVEL 4AS SPADE,1
249,12,4' WOOD CUTTER(XTRA POWER),-1.000
250,1221,SCREW WASHER ,12
251,123.,SELF SCREW PATTA 8*32,2600
252,123.,SELF SCREW PATTA 8*32,-5.000
253,123/2,SELF SCREW 2 INCH ,3860
254,123/H,SELF SCREW MODI HEAD 1 1/4INCH ,8674
255,123/H,SELF SCREW MODI HEAD 1 1/4INCH ,1108
256,124.,PATTA DRY WALL 1/2'(13*6),-775.000
257,1257.,FAN,-1.000
258,1257.,FAN,12
259,129.,WATER PAPER BULLET 60,192
260,12ADG,ROTARY TOOL ACCESSORIES KIT OI-12ADG 12PCS,3
261,12HSS,HOLESAW SET ASG 12 PCS ,-1.000
262,12WMB,12W LumenexPrimeMosqbulb/colorwhite,3
263,12WP,17299 LED LAMPS 12W OSRAM,82
264,12WP,17299 LED LAMPS 12W OSRAM,1
265,130.,WATER PAPER BULLET 80,1
266,130.,WATER PAPER BULLET 80,39
267,13001,LIVON 6 AMP 3 PIN TOP 13001,-1.000
268,13002,LIVON 16 AMP 3 PIN TOP 13002,2
